"hostname","ifname","timeslot","max_metric_value","mean_metric_value"
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 13:00:00",56653939.36,42745073.0781887
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 14:00:00",82652695.32432432,50160414.98135241
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 15:00:00",81117883.83892618,53249321.9656691
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 16:00:00",66565524.949832775,47850068.654999614
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 17:00:00",73722107.93265994,44456783.362617254
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 18:00:00",56604242.89700997,47447679.622541405
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 19:00:00",78082634.04651164,52270503.6808731
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 20:00:00",84970019.30201343,62986765.34860733
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 21:00:00",65654646.89189189,51890103.27844024
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 22:00:00",83463339.75510204,60373098.71356849
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-19 23:00:00",64381494.22516556,45552693.52744984
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 00:00:00",53272931.248322144,36348087.28815202
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 01:00:00",53013050.85333333,36305158.25976851
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 02:00:00",46022299.83783784,26085098.863855742
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 03:00:00",29598082.71009772,20458580.941274937
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 04:00:00",61536998.27609427,22242680.175043296
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 05:00:00",26641266.46357616,21493255.493964814
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 06:00:00",34588225.62711865,24960106.747294705
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 07:00:00",47423281.10810811,37557903.587789945
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 08:00:00",57062609.81333333,42950600.6300945
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 09:00:00",57223529.36912752,45438384.4849932
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 10:00:00",58368679.52317881,48796991.4911656
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 11:00:00",57534826.92358804,49501152.682290696
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 12:00:00",62430925.12751678,50357790.65720959
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 13:00:00",55948324.67326733,48019847.20170786
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 14:00:00",61473416.05460751,48990993.563880436
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 15:00:00",62929631.463087246,51433712.426621184
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 16:00:00",57177674.42424242,44770288.48521817
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 17:00:00",65896082.90909091,44717361.826859556
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 18:00:00",60016669.20805369,44921613.443571545
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 19:00:00",63786985.24916943,51034492.86075641
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 20:00:00",64715616.684210524,53940200.89562082
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 21:00:00",73516038.63087249,55498055.66016872
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 22:00:00",67514042.48,49905157.93045178
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-20 23:00:00",77170533.84511785,59177137.27964826
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 00:00:00",59440104.241610736,44655598.43766096
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 01:00:00",34741937.535353534,27362006.766562548
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 02:00:00",53367213.591973245,31104881.52411586
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 03:00:00",26918497.100671142,18875718.45526497
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 04:00:00",32408760.054421768,20122690.405399885
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 05:00:00",27994958.08,19926937.451596443
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 06:00:00",35327352.16161616,24668970.173926458
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 07:00:00",48076023.78737541,33269992.736033276
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 08:00:00",51328123.49830508,41758216.37359869
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 09:00:00",54674306.41610738,45129301.88890186
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 10:00:00",55065915.75342466,45736716.91830692
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 11:00:00",57217939.248322144,43303991.360852286
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 12:00:00",72410731.97315437,50809561.29254991
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 13:00:00",54304663.48821549,45837522.90294888
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 14:00:00",58271321.65789474,48359747.16218459
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 15:00:00",57384636.705882356,48452085.93700157
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 16:00:00",65081403.5945946,54547605.24537763
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 17:00:00",72446336.58278146,54032915.902423054
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 18:00:00",70742619.51677853,53117402.58757038
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 19:00:00",67404787.30666667,49263462.79070143
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 20:00:00",69205739.08108108,55505696.191753164
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 21:00:00",74767764.61333333,56414208.5893059
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 22:00:00",93095159.09333333,63695631.77921542
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-21 23:00:00",117628137.25081433,67578531.72426102
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 00:00:00",66000727.03030303,36880415.410800226
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 01:00:00",36400850.11320755,28405166.983343706
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 02:00:00",36073452.36363637,23920020.5400034
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 03:00:00",30706045.88778878,22620062.746128164
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 04:00:00",26035864.08080808,20940065.207911026
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 05:00:00",25517652.13157895,20991748.35922454
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 06:00:00",28477664.13245033,21191461.869427737
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 07:00:00",36458740.08275862,29136191.430192173
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 08:00:00",56565185.77181208,43233982.10964381
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 09:00:00",61999616.08,46266644.98765771
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 10:00:00",75662457.54666667,54712642.62974066
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 11:00:00",69670969.25170068,47903780.509626
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 12:00:00",58854002.612794615,45904600.865443386
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 13:00:00",54868836.14426229,44598519.13775089
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 14:00:00",74569385.26599327,50476989.42178576
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 15:00:00",64785413.95409836,48749770.02448684
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 16:00:00",58852890.56,49624163.96751308
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 17:00:00",57617449.93288591,46763336.43008827
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 18:00:00",66100714.782608695,44450183.96172158
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 19:00:00",65831778.053333335,44936565.128961705
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 20:00:00",51961290.578947365,43002973.45300051
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 21:00:00",52997638.31438127,39170237.12686841
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 22:00:00",70552657.76,51375506.83454647
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-22 23:00:00",64300083.5704698,36146199.39974156
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 00:00:00",38728910.17449664,24825004.977575283
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 01:00:00",33512928.263157893,23825029.022032134
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 02:00:00",27127978.513513513,18762319.083407305
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 03:00:00",23057250.75,17659478.536081214
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 04:00:00",23802621.706666667,17810104.914691046
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 05:00:00",23731697.12751678,17949184.905569736
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 06:00:00",30948363.8538206,25048467.547849327
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 07:00:00",51696705.626666665,33782935.63623155
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 08:00:00",49676756.249180324,38567141.99937102
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 09:00:00",48032230.363036305,38418073.967163265
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 10:00:00",57130070.11295681,44256047.8791068
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 11:00:00",44864628.53333333,37142324.90757626
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 12:00:00",57216591.12,42973910.2778764
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 13:00:00",51404095.645051196,40449120.326711066
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 14:00:00",57002849.36912752,43540246.60460681
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 15:00:00",60151302.74247491,41477021.66910966
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 16:00:00",46710014.24,39999465.21842938
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 17:00:00",47457210.87671233,36912942.04019005
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 18:00:00",41818470.81879195,34124044.20120684
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 19:00:00",53161660.910891086,38283357.931425236
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 20:00:00",48437693.859531775,40635218.09273528
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 21:00:00",46214888.34899329,38443604.9171162
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 22:00:00",67930905.86666666,47986474.37790034
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-23 23:00:00",65552955.59731544,50773495.2229616
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 00:00:00",54385677.84,40894943.159934424
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 01:00:00",58176833.21052632,39546128.744154915
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 02:00:00",62078231.05405405,50621190.015949786
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 03:00:00",64342621.413333334,27215834.48191698
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 04:00:00",21385753.165562913,16192877.647523006
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 05:00:00",24556204.471232876,17387013.823747855
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 06:00:00",29386576.4295302,21997985.02581713
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 07:00:00",54398215.21885522,32287311.576482132
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 08:00:00",48782232.87707641,37617757.121658325
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 09:00:00",56422443.8367347,42315324.75205247
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 10:00:00",53508793.29372937,43179659.57840044
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 11:00:00",51582062.85333333,41753477.02906313
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 12:00:00",56285052.64,44080576.73134072
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 13:00:00",55427994.457337886,43024171.064584576
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 14:00:00",71143877.95286195,54454980.72270864
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 15:00:00",133697609.31058021,66853045.86573641
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 16:00:00",74016624.61333333,53240133.92458076
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 17:00:00",54443916.45945946,41812713.54388169
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 18:00:00",46915344.02666666,37696382.72934149
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 19:00:00",62302233.99335548,48813447.22301258
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 20:00:00",42553078.976430975,34941225.77803768
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 21:00:00",42507803.35135135,35061673.65593677
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 22:00:00",44027669.20805369,34523857.50472582
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-24 23:00:00",58584872.949152544,38554612.75956913
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 00:00:00",42994590.45847176,30448179.047198035
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 01:00:00",77024324.1632653,40158856.08345801
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 02:00:00",41986624.26490066,30408141.50280238
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 03:00:00",41227181.89473684,28084369.532210406
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 04:00:00",48257645.859531775,32490527.754813056
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 05:00:00",34624535.6,29094458.07365603
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 06:00:00",50532812.468227424,38345505.89381794
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 07:00:00",54254475.58528428,39437976.56631146
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 08:00:00",43594142.04682274,36534427.37948742
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 09:00:00",52858995.48648649,43004425.908363156
